name,ID,bio
Addam Whitehead,Addam_Whitehead,Addam Whitehead is a knight from House Whitehead and the son and heir of old Lord Whitehead.
Addison Hill,Addison_Hill,"Addison Hill, known as the Bastard of Cornfield, was a bastard knight from House Swyft and a Lord Commander of the Kingsguard. In 10 AC, Ser Addison was chosen by Queen Visenya_Targaryen to be one of the first knights of the Kingsguard when the order was founded by King Aegon_I_Targaryen. He would serve his king with honor and valor until the end of his life. Despite his bastard origin, Addison eventually rose to become Lord Commander of the Kingsguard. It is unknown when it happened, however. It could have been during the reign of Aegon I or during one of his sons's, Aenys_I_Targaryen and Maegor_I_Targaryen."
Adrack Humble,Adrack_Humble,"Adrack Humble is an ironborn raider and a member of House Humble. In the television adaptation Game of Thrones, Adrack is portrayed by Jody Halse. Adrack lost one of his arms in battle. He reportedly has a rock wife and three salt wives, three of whom were big with child when Adrack left the Iron Islands."
Adrian Redfort,Adrian_Redfort,"Adrian Redfort was a knight from House Redfort and a member of Rhaenyra_Targaryen's Queensguard. In the television adaptation House of the Dragon, Adrian is portrayed by Barry Sloane. Ser Adrian was inducted into the Queensguard after Rhaenyra seized King's Landing and commanded Lord Commander Lorent_Marbrand to recruit six knights to serve alongside him. Ser Adrian was killed in defense of Rhaenyra by the men of Ser Alfred_Broome at Dragonstone. He was stabbed in the back by a spear."
Adrian Tarbeck,Adrian_Tarbeck,"Adrian Tarbeck was a knight from House Tarbeck who supported King Aegon_II_Targaryen during the Dance of the Dragons. During the Dance of the Dragons, Adrian took command of the Lannister host after Lord Jason_Lannister fell in the Battle at the Red Fork. Thrice repelled by the rivermen, Adrian and a hundred handpicked knights stripped off their heavy armor and swam across the river, upstream of the battle. Adrian then led the knights in circling around to take Lord Tristan_Vance's lines in the rear, personally slaying the riverlord. The ranks of the rivermen shattered, allowing the westermen to cross into the riverlands. The Lannister host continued to march east towards Harrenhal, winning victories under Adrian's command. The westermen were briefly checked at Acorn Hall by Lord Joseth_Smallwood and Lord Petyr_Piper, but Lord Piper died in battle and Lord Smallwood retreated back to his castle. Three days later, the rivermen regrouped under a hedge knight, Ser Harry_Penny, and gave battle to the westermen again. While the Lannister host once again prevailed, Ser Adrian and Ser Harry killed each other in the fighting. With Adrian's death, command of the westermen passed to the aged and wounded Lord Humfrey_Lefford."
Adrian Thorne,Adrian_Thorne,"Adrian Thorne was a knight from House Thorne who served as Commander of the City Watch during the regency of King Aegon_III_Targaryen. Adrian was the captain of the Lion Gate during the regency of King Aegon_III_Targaryen. In 135 AC, he was the only one of Commander Lucas_Leygood's seven captains not accused of involvement in the plot against House Rogare. After the death of Ser Lucas, he was chosen as the new Commander of the City Watch."
Aegon Ambrose,Aegon_Ambrose,"Aegon Ambrose was a knight of House Ambrose and a member of the Warrior's Sons at the start of the reign of King Maegor_I_Targaryen. In 42 AC, Ser Aegon stationed at the King's Landing chapter of the Warrior's Sons, based in the Sept of Remembrance. He fought in the trial of seven in which seven of the Warrior's Sons faced King Maegor_I_Targaryen and his six champions. Aegon died during the fight."
Aegon Blackfyre,Aegon_Blackfyre,"Aegon Blackfyre was the eldest son of Daemon_I_Blackfyre and the twin of Aemon_Blackfyre. Aegon was Daemon's heir. Aegon was the oldest of the children of Daemon_I_Blackfyre and Rohanne_of_Tyrosh of Tyrosh. He had a younger twin brother, Aemon_Blackfyre, and five other younger brothers: Daemon_II_Blackfyre, Haegon, Aenys_Blackfyre, and two whose names are currently unknown. He also had at least two sisters. The twins often bullied their younger brother Daemon, and Daemon's friend, Alyn_Cockshaw. Daemon once had a prophetic dream about the deaths of Aegon and Aemon, but the disbelieving twins only laughed at their brother. During the First Blackfyre Rebellion, when Aegon was twelve years old, he served as a squire to his father. Aegon was killed at the Battle of the Redgrass Field by the arrows of Brynden_Rivers and his Raven's Teeth. Daemon remained by his fallen son's side, and was also struck down by arrows. Aegon's twin, Aemon, took up the sword Blackfyre from his dying father, but was then slain by the archers as well."
Aegon Frey,Aegon_Frey_(son_of_Stevron),"Aegon Frey, called Jinglebell, is the lackwit son of Ser Stevron_Frey and Jeyne_Lydden, and the fool of the Twins. Lord Walder_Frey claims to have hosted three kings at the Twins, but Jinglebell was not introduced to them."
Aegon Frey,Aegon_Frey_(son_of_Aenys),"Aegon Frey, better known as Aegon Bloodborn, is the eldest son of Ser Aenys_Frey and Tyana_Wylde."
Aegon I Targaryen,Aegon_I_Targaryen,"Aegon I Targaryen, also known as Aegon the Conqueror and Aegon the Dragon, was the first Lord of the Seven Kingdoms and king on the Iron Throne, having conquered six of the Seven Kingdoms during the Conquest. The dragonlord was the founder of the ruling Targaryen dynasty of Westeros. Aegon was born on Dragonstone in 27 BC to Lord Aerion_Targaryen_(son_of_Daemion) and Lady Valaena_Velaryon. He had an older sister, Visenya_Targaryen, and a younger sister, Rhaenys_Targaryen. According to Valyrian and Targaryen tradition, Aegon married within the family, to keep the bloodlines pure; however, instead of taking only one sister to wife, as was expected, Aegon married both of them. It is said that he married Visenya out of duty, and Rhaenys out of desire. The taking of a second wife was unusual, but not without precedent among the dragonlords. Aegon had claimed the dragon Balerion for his own prior to his marriage. When Pentos and Tyrosh asked Aegon for his aid in their struggle against Volantis, Aegon, Lord of Dragonstone, flew to Pentos atop of Balerion to meet with the Prince of Pentos and the city's magisters. Aegon next flew to Lys, where he burned a Volantene fleet before it could attempt to invade the city. Shortly after, Aegon returned to Dragonstone."
Aegon II Targaryen,Aegon_II_Targaryen,"Aegon II Targaryen, also known as Aegon the Elder, was the sixth Targaryen king to sit the Iron Throne, succeeding his father, Viserys_I_Targaryen, as Lord of the Seven Kingdoms. His ascent was disputed by his older half-sister, Princess Rhaenyra_Targaryen, who had been their father's designated heir. Aegon and Rhaenyra fought for the throne in the civil war the singers called the Dance of the Dragons, in which both siblings perished. Aegon was married to his younger sister, Helaena_Targaryen, and had three children by her, though none reached adulthood. His dragon was Sunfyre, also known as ""the Golden"". During the Dance, Aegon took a three-headed golden dragon for his personal sigil instead of the red three-headed Targaryen dragon, indicating his mount. Aegon's supporters used his personal heraldry as their battle-flag. In the television adaptation House of the Dragon, Aegon is portrayed by Tom Glynn-Carney, Ty Tennant (young), and an uncredited child actor (infant)."
Aegon III Targaryen,Aegon_III_Targaryen,"Aegon III Targaryen, also known as Aegon the Younger, and later as Aegon the Unlucky, Aegon the Unhappy, the Broken King, and most famously as Aegon the Dragonbane, was the seventh Targaryen king to sit the Iron Throne. He succeeded his uncle, Aegon_II_Targaryen, at the conclusion of the Dance of the Dragons, which saw the victorious supporters of his late mother Rhaenyra_Targaryen install him on the throne. When he was a child, his dragon was Stormcloud. Aegon kept the kingdoms united following the divisions of the civil war, with the aid of his brother, Prince Viserys_II_Targaryen, whom he eventually named Hand of the King. In the television adaptation House of the Dragon, Aegon is portrayed by the uncredited actors Jake and Rory Heard (child)."
Aegon IV Targaryen,Aegon_IV_Targaryen,"Aegon IV Targaryen, known as Aegon the Unworthy, was the eleventh Targaryen to sit the Iron Throne, and is considered to be one of the worst Targaryen kings. He sired numerous bastards, legitimizing them on his deathbed, an act that led to five Blackfyre Rebellions. Aegon was the eldest son of Prince Viserys_II_Targaryen, and his wife, Larra_Rogare. He was born during the third moon of the year 135 AC in King's Landing, less than a fortnight after his aunt, Princess Rhaena_Targaryen_(daughter_of_Daemon), rode her dragon, Morning, for the first time. Aegon grew up during the rule of his uncle, King Aegon_III_Targaryen, after whom he was named. Septon Bernard anointed him with the seven oils in the royal sept, and the bells of the city rang in celebration of his birth and following the custom a dragon egg was placed in his cradle. His grandfather, Lysandro_Rogare even declared a day of feasting in Lys in his honor. In 139 AC, his mother Larra returned to her native Lys, where she died in 145 AC. In 153 AC, Viserys had Aegon married to his sister, Princess Naerys_Targaryen, with Aegon III's blessing. Their marriage was an unhappy one. Naerys had a better relationship with her second brother, Prince Aemon_Targaryen_(son_of_Viserys_II), for he knew how to make her laugh and had something of the piety she had, while Aegon did not. When Aegon and Naerys were wed in the early months of 153 AC, Aemon quarreled with Aegon at the wedding feast, and Naerys wept during the bedding. Aegon's first child with Naerys, Prince Daeron_II_Targaryen, was born on the last day of 153 AC. As a young prince, Aegon accompanied his cousin, King Daeron_I_Targaryen, in his conquest of Dorne, as did Aegon's younger brother, Prince Aemon_Targaryen_(son_of_Viserys_II), who had joined the Kingsguard. After the submission of Sunspear, Aegon was tasked by King Daeron I to escort the highborn Dornish hostages to King's Landing. One of these hostages, Lady Cassella_Vaith, became one of Aegon's mistresses for a few years. When Baelor_I_Targaryen became king after Daeron's death in Dorne, Baelor dissolved his marriage to his sister-wife, Daena_Targaryen, and imprisoned her and his other sisters in comfortable confinement of the Maidenvault so the sight of her would not tempt him or the men of his court to carnal thoughts. That did not stop Daena from escaping her confinement on three occasions, one time with the help of her cousin, Aegon. Daena became pregnant, refused to say who the father was, and was dubbed ""Daena the Defiant"" for her willfulness. In time she gave birth to Aegon's son whom she named Daemon_I_Blackfyre. Daemon was not the first of Aegon's bastards, however. Aegon had already acknowledged multiple children by two of his four mistresses, and more children would follow. In his marriage, however, childbirth went less easily. During the years of their marriage, Princess Naerys had several difficult pregnancies. In 161 AC, Naerys gave birth to twins who died shortly after the birth. This caused the new king, Baelor_I_Targaryen, to fast for a moon's turn. Because Naerys nearly died during this pregnancy, King Baelor sent Prince Aegon to Braavos on a diplomatic mission. Accounts at the time suggest it was an excuse to make certain Aegon left Naerys alone as she recovered from the failed childbirth. In 172 AC, after another troubled labor, Naerys gave birth to a daughter named Daenerys_Targaryen_(daughter_of_Aegon_IV). Daenerys' twin brother, however, was stillborn. Eventually Baelor starved himself to death during one of his pious fasts, and Daena and her sisters were passed over in the succession. Aegon's father Viserys became king, but he only ruled for a year before passing away himself. So, in 172 AC, the throne passed to Aegon, the Fourth of His Name. Some historians suspect that the sudden death of Aegon's father, King Viserys, was not natural and that his successor and son Aegon poisoned him in order to hasten his inheritance to the Iron Throne."
Aegon V Targaryen,Aegon_V_Targaryen,"Aegon V Targaryen was a Lord of the Seven Kingdoms and the fifteenth Targaryen to sit the Iron Throne as King of the Andals, the Rhoynar, and the First Men. In his youth, he went by the nickname Egg and squired for Ser Duncan_the_Tall. Aegon became king after a Great Council bypassed a number of candidates earlier in the line of succession, and after his elder brother, Maester Aemon_Targaryen_(son_of_Maekar_I), refused the throne. As the fourth son of Maekar_I_Targaryen, himself a fourth son, Aegon was called Aegon the Unlikely. In the television adaptation A Knight of the Seven Kingdoms, Aegon is portrayed by Dexter Sol Ansell. Aegon was born the fourth son and fifth child of Prince Maekar_I_Targaryen and his wife, Dyanna_Dayne. Aegon served at court in King's Landing for two years as a page, sometimes attending to the small council. Aegon owned a dragon egg, which was colored with green and white swirls and had been placed in his cradle with him when he was a babe. Aegon and his elder brother, Prince Aemon_Targaryen_(son_of_Maekar_I), hoped their eggs would hatch so they could become dragonriders. Aegon kept his egg at Summerhall. The brothers recreated the Battle of the Redgrass Field with painted soldiers on Maester Melaquin's table. Aegon loathed his brother, the cruel and sadistic Aerion_Targaryen, who threw Aegon's pet cat down a well. Aerion once visited Aegon in his bedroom during the dead of night, put a knife to Aegon's privates, and joked about removing his genitals so he would become a girl whom Aerion could marry. Once Aegon's sister Rhae_Targaryen slipped a love potion into his drink so that he would marry her and not their sister Daella_Targaryen_(daughter_of_Maekar_I), to whom he might have been betrothed.[N 1] Aegon did not wish to marry, instead dreaming of becoming a knight of the Kingsguard, who are sworn not to wed. In 219 AC, Aegon served alongside his father Prince Maekar and elder brother Prince Aerion in the Third Blackfyre Rebellion, where he demonstrated great courage. Aegon married Lady Betha_Blackwood in 220 AC. The marriage at the time provoked no opposition as Aegon was very low in the line of succession.  They married for love and eventually had five children together. Aegon named his first-born son Duncan_Targaryen, presumably to honor his friend, Ser Duncan_the_Tall (however, when asked about it, George R. R. Martin refused to answer). In 221 AC, Aegon's uncle, King Aerys_I_Targaryen died with no issue and was followed on the Iron Throne by his last living brother, Prince Maekar_I_Targaryen. Aegon and his brothers were summoned to court by King Maekar. According to a semi-canon source, Aegon participated in the suppression of the Peake Uprising in 233 AC, with Tion_Lannister as his squire. The prince knighted the mortally wounded Tywald_Lannister, Tion's twin, during the battle. King Maekar I was also killed at Starpike during the rebellion. With Maekar dead, it was unclear who should be king since two of Aegon's older brothers had died before his father. Daeron_Targaryen_(son_of_Maekar_I) left a feeble-witted daughter named Vaella_Targaryen_(daughter_of_Daeron) and Aerion_Targaryen an Maegor_Targaryen_(son_of_Aerion), so a Great Council was called to choose the king. Aegon seemed the logical choice but many lords considered him ""half a peasant"" due to his youth among the smallfolk. The council approached Aegon's older brother, Maester Aemon_Targaryen_(son_of_Maekar_I), but he refused, stating the crown should be given to Aegon."
Aegon Targaryen,Aegon_Targaryen_(son_of_Gaemon),"Aegon Targaryen was a member of House Targaryen during the Century of Blood, the son of Lord Gaemon_Targaryen_(son_of_Aenar) and Lady Daenys Targaryen of Dragonstone. Aegon married his sister, Elaena_Targaryen_(daughter_of_Gaemon), and together they had two sons: Maegon_Targaryen and Aerys_Targaryen_(son_of_Aegon). Aegon and Elaena also had a younger sister who married a petty lord. Aegon and Elaena inherited the lordship of Dragonstone from their father and mother, they jointly ruled Dragonstone and were succeeded by Maegon."
Aegon Targaryen,Aegon_Targaryen_(son_of_Aenys_I),"Prince Aegon Targaryen was a member of House Targaryen and was the second child, and eldest son and heir, of King Aenys_I_Targaryen and Queen Alyssa_Velaryon. After his father's death, he became a dragonrider and rode his late father's dragon, Quicksilver. He became known to history as Aegon the Uncrowned after his Maegor_I_Targaryen usurped the Throne."
Aegon Targaryen,Aegon_Targaryen_(son_of_Jaehaerys_I),"Prince Aegon Targaryen was the firstborn child of King Jaehaerys_I_Targaryen and Queen Alysanne_Targaryen. Aegon was born too early. He was named by Alysanne in honor of both her grandfather Aegon_I_Targaryen and her deceased and much mourned elder brother Aegon_Targaryen_(son_of_Aenys_I). The entire realm rejoiced at the child's birth, most of all his father King Jaehaerys. The joy was short-lived, however, as Aegon died three days after his birth. Alysanne was so deeply affected by her son's death that the maesters feared for her life as well. Alysanne blamed her son's early birth and subsequent death on the women who had attacked her at Jonquil's Pool at Maidenpool, believing that if she had she been allowed to bathe in the pool and its healing waters, Aegon would have lived."
Aegon Targaryen,Aegon_Targaryen_(son_of_Baelon),"Prince Aegon Targaryen was the youngest child of Prince Baelon Targaryen and Princess Alyssa_Targaryen. He was named after Aegon_I_Targaryen. His older brothers were King Viserys_I_Targaryen and Prince Daemon_Targaryen. Alyssa never recovered from the difficult labor, and perished the same year of Aegon's birth. Aegon died the following year, just short of his first nameday."
Aegon Targaryen,Aegon_Targaryen_(son_of_Aerys_II),"Prince Aegon Targaryen was the thirdborn son of King Aerys_II_Targaryen and Queen Rhaella_Targaryen. Prince Aegon was born in 272 AC, two months premature. As his brother Daeron_Targaryen_(son_of_Aerys_II) before him, Aegon did not live long. He died in 273 AC."
Aegon Targaryen,Aegon_Targaryen_(son_of_Rhaegar),Prince Aegon Targaryen was the second child and only son of Prince Rhaegar_Targaryen and Princess Elia_Martell.
Aegor Rivers,Aegor_Rivers,"Aegor Rivers, frequently called Bittersteel, was one of the Great Bastards, a son of King Aegon_IV_Targaryen by his fifth mistress, Lady Barba_Bracken. The knight was a major supporter of the pretender king Daemon_I_Blackfyre and the later Blackfyre pretenders. Aegor was the founder of the Golden Company, a famed group of exiled sellswords. In his personal arms, he combined the red stallion of House Bracken with black dragon wings from House Blackfyre, on a golden field. In 172 AC, Aegor was born at King's Landing to the fifth of King Aegon_IV_Targaryen's mistresses, Barba_Bracken. Aegor was born only a fortnight before Aegon's wife, Queen Naerys_Targaryen, nearly died in childbirth. With Naerys lingering near death, Barba's father, the Hand of the King, began to speak openly of Barba marrying King Aegon IV. However, his words became a scandal when Queen Naerys recovered her health. Naerys's brother, Prince Aemon_Targaryen_(son_of_Viserys_II), and her son, Prince Daeron_II_Targaryen, forced King Aegon to send both Barba and her bastard son away from court. Aegor was raised at Stone Hedge in the riverlands by the Brackens. King Aegon IV was visiting Aegor at Stone Hedge in 177 AC when he met Barba's younger sister, Bethany_Bracken, and took her for his seventh mistress. However, Bethany's affair with Ser Terrence_Toyne, a Kingsguard, soon resulted in the execution of Terrence, Bethany, and her father, Aegor's grandfather. The angry Aegor reserved particular loathing for his half-brother Brynden_Rivers, whose mother, Melissa_Blackwood, had replaced his own as their father's favorite mistress. Aegor loathed Brynden, who was known as Bloodraven, even further when Shiera_Seastar, their beautiful half-sister and a fellow Great Bastard, chose Brynden over him. Their other half-brother, Daemon_I_Blackfyre, agreed to wed his daughter Calla_Blackfyre to Aegor; however, it is unknown if and when the marriage took place. Aegor often urged Daemon to press his own claim to the Iron Throne."
Aelinor Penrose,Aelinor_Penrose,"Queen Aelinor Penrose was a noblewoman from House Penrose and the queen consort of King Aerys_I_Targaryen. Aelinor was born in her family's seat, Parchments. Aelinor was married to her cousin, Prince Aerys_I_Targaryen. He never showed any interest in getting her with child, instead shunning her bed. Rumor had it that Aerys never even consummated the marriage. When Aerys ascended to the throne as King Aerys I in 209 AC, his small council urged the king to put Aelinor aside and marry another, hoping that Aerys's behavior was caused by dislike of her. However, King Aerys would not listen, and so Aelinor remained his wife. During the reign of Aerys I, it was said that Queen Aelinor would pray at the Great Sept of Baelor daily, beseeching the Mother Above to bless her with a child. Aelinor and Aerys had no children."
Aelor Targaryen,Aelor_Targaryen,"Prince Aelor Targaryen was the son of Prince Rhaegel_Targaryen and Lady Alys_Arryn_(wife_of_Rhaegel). He had a twin sister, Aelora_Targaryen, to whom he was married, and a younger sister, Daenora_Targaryen. When Duncan_the_Tall first encounters Aelor's cousin, Prince Aerion_Targaryen, at Ashford Meadow, he initially wonders if Aerion might be Prince Valarr_Targaryen, Matarys_Targaryen, or one of their cousins, as he was aware that three of King Daeron_II_Targaryen's sons had sons of their own who were youths around his own age. Aelor, the only son of Daeron's third son Prince Rhaegel_Targaryen, was one of these sons. During the reign of King Aerys_I_Targaryen, some in the realm suspected the King's Hand Brynden_Rivers held the true power. Septon Sefton_Staunton at Coldmoat lamented that none in House Targaryen could stand against him, including Aelor, who was only a child at the time. Ser Kyle the Cat too distrusted Bloodraven and believed Aerys' eventual death would result in war between Bloodraven and  Prince Maekar_I_Targaryen, who he mistook as heir. Ser Maynard_Plumm reminded him that Rhaegel and his children came before Maekar in the line of succession. Ser Kyle dismissed all three, claiming that Aelor and his twin Aelora were as good as dead, doomed to fall victim to Bloodraven or Maekar. Aelor's cousin, Prince Aegon_V_Targaryen, fiercely insisted that his father would never harm Rhaegel or any of his children. After the death of Aelor's father in 215 AC, Aelor was named Prince of Dragonstone and heir to the throne by his uncle, King Aerys_I_Targaryen. Aelor was married to his twin sister, Princess Aelora_Targaryen. He died in 217 AC at the hand of his sister-wife through a freak accident, which left her mad with grief."
Aelora Targaryen,Aelora_Targaryen,"Princess Aelora Targaryen was the daughter of Prince Rhaegel_Targaryen and Lady Alys_Arryn_(wife_of_Rhaegel). She had a twin brother, Aelor_Targaryen, to whom she was married, and a younger sister, Daenora_Targaryen. Aelora was married to her twin brother, Prince Aelor_Targaryen. When their father, Prince Rhaegel_Targaryen, died in 215 AC, Aelor was named Prince of Dragonstone and heir to the Iron Throne by their uncle, King Aerys_I_Targaryen. As Rhaegel was often disregarded on account of his mental fragility, both he and his children were sometimes forgotten as heirs to Aerys who came ahead of Aelora's uncle, Prince Maekar_I_Targaryen. Those more knowledgeable of the true line of succession were quick to point out that Rhaegel and his children all preceded Maekar. During the reign of Aerys I, his Hand of the King, Lord Brynden_Rivers, was the subject of much mistrust. Bloodraven's detractors worried that nobody in House Targaryen was fit to stand up to him This anti-Bloodraven sentiment ran so deep that some even suggested Rhaegel and his children might be killed by his magic. Even Prince Maekar was not free of such suspicions, though his youngest son, Aegon_V_Targaryen, was quick to protest that Maekar loved his brother and would never harm him or his children. In 217 AC, Aelora accidentally caused Aelor's death in a ""grotesque mishap"", which left her mad with grief. Following Aelor's death, King Aerys recognized Aelora as his new heir to the throne. Some time later, three men known as The_Rat,_the_Hawk,_and_the_Pig attacked Aelora at a masked ball, after which she committed suicide."
Aelyx Targaryen,Aelyx_Targaryen,"Aelyx Targaryen was a member of House Targaryen during the Century of Blood, the first son of Lord Aerys_Targaryen_(son_of_Aegon) of Dragonstone. He had two younger brothers, Baelon_Targaryen_(son_of_Aerys) and Daemion_Targaryen. Aelyx inherited the lordship of Dragonstone from his father and was himself succeeded by his brother Baelon."
